"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50"
"g1",0,3.855,12.45,165.404,2.056,6484.446,0,157.304,4.511,367.177,7.467,0,226.094,4.956,0,5.804,7.471,0,7.197,92.477,19.969,1.541,0,1.577,0,131.526,0,8.957,0,0,0,113.138,0,0,0,50.285,0,6.685,304.717,0,1.579,0,0,225.755,12.23,0,0,0.985,0,0
"g2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317,274.551,0,0,0,0,0,0
"g3",1132.223,124.014,565.175,158.997,33.554,15.182,12.317,93.735,380.966,786.64,1148.296,738.684,84.196,623.213,945.288,2.931,1087.134,511.373,101.749,4.166,562.571,159.686,943.141,3.012,6.714,929.002,739.83,852.998,579.375,29.508,128.852,168.518,249.028,97.08,48.132,14.813,499.359,145.393,6.224,112.006,177.006,488.97,42.339,67.163,26.315,16.587,12.997,4.848,249.843,816.049
"g4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.159,0,0,0,0,0,0,4.653,0
"g5",110.537,817.908,18.302,60.634,493.055,250.41,79.877,2076.567,1030.435,24.625,51.731,2996.523,50.013,169.749,5.096,617.997,5.35,1495.766,599.266,118.197,5.51,5.831,190.959,58.793,8.956,105.536,328.163,377.414,5.216,0,164.095,203.764,115.27,112.999,11.729,175.517,336.101,8.498,116.97,43.704,639.619,58.531,15.055,4.97,175.619,48.915,2085.928,2123.345,2257.112,9.718
"g6",0,0,143.177,0,0,0,300.266,0,764.639,0,0.83,0,213.007,0,231.847,8.706,33.333,0,0,0,0,63.166,0,0,0,0,376.59,0,0,0,41.497,0,14.188,1.59,0,0,0.995,0,0,108.228,0,0,0,868.23,82.434,0.862,0,2.956,77.543,0
"g7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g9",0,3.855,197.128,6.281,0,6.197,109.851,3.084,1.128,173.276,480.328,0,107.962,258.96,15.287,0,393.096,0,0,345.78,9.077,0,108.924,0,0,12.967,0,0,358.261,29.859,0,1.154,0,0,0,10.775,0,571.93,0,0,0,0,343.77,0.789,0,0,0,0,0,11.403
"g10",60.867,1326.108,20.75,8.375,0,49.574,24.317,0,32.706,29.037,5.808,0,4.377,35.932,0,0,0.575,3.859,3.599,0.701,0,0.77,2.625,3.154,0,1.852,1.768,21.497,0,244.084,0,0,0,1049.966,9.284,0,0.995,10.863,0,11.807,0,18.481,0,0.789,12.23,0,0,0,0,72.219
"g11",0,0,0,0,0,0,72.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.311,0,0,0,0,0,0,0,0,0,0,0,310.751,0,0,0,0,0,0,0,0,0,0,2.127,0,0,0,0,0
